FID,sample_effort_id,survey_date,project_name,observers,observers_affiliation,observers_secondary_affiliation,site_code,original_site_code,visit_type,revisit,area_surveyed,study_type,viereck_code,viereck_name,disturbance_type,location,latitude,longitude,elevation,quad_name,quad_number,collection_method,precision,map_source,map_scale,map_date,location_notes,usda_name_code,presence,usda_name_2,scientific_name,common_name,family,rank_code,infested_area,canopy_cover,stem_count,estimated_years_of_disturbance,herbarium,control_action,aggressiveness,species_notes,project_description,project_method,project_discussion,data_type
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c8c,521755,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000308Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.939029 60.807041),60.807041,-148.939029,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c8b,523147,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000325Y12,,Reconnaissance,No,,Single species study,,,,POINT (-148.901525 60.793187),60.793187,-148.901525,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,,,Not Collected,None,,Tangle Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.  Majority of pond lacks aquatic vegetation.  Total aquatic vegetation cover is less than 1%.,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c8a,521737,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000281Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.936941 60.809929),60.809929,-148.936941,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c89,521769,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000316Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.933489 60.805313),60.805313,-148.933489,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c88,521768,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000315Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.933611 60.805755),60.805755,-148.933611,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c87,521767,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000317Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.934489 60.805405),60.805405,-148.934489,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c86,521766,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000314Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.934491 60.805951),60.805951,-148.934491,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c85,521765,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000313Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.935409 60.806139),60.806139,-148.935409,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c84,521764,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000318Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.935471 60.805429),60.805429,-148.935471,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c83,521763,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000312Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.936277 60.806221),60.806221,-148.936277,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c82,521725,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000304Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.939569 60.811971),60.811971,-148.939569,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c81,521736,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000300Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.937431 60.811709),60.811709,-148.937431,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c80,521740,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000282Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.936153 60.809725),60.809725,-148.936153,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c7f,521749,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000289Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.933433 60.808723),60.808723,-148.933433,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c7e,521750,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000286Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.933145 60.808473),60.808473,-148.933145,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c7d,521751,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000288Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.932811 60.808509),60.808509,-148.932811,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Moose Flats Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c7c,521753,7/31/2012,Chugach National Forest 2012 Invasive Species Surveys,"Nawrocki, T.; Zwang, M.",USFS,,100410P000307Y12,,Reconnaissance,no,,Single species study,,,,POINT (-148.939927 60.806941),60.806941,-148.939927,,,,GPS,0-30,,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Alder Pond Elodea nuttallii Survey.  None found.  Shore not included in survey.,Single species survey for Elodea,,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c7b,521780,8/9/2012,Anchorage Elodea Surveys,"Rich, C.; Stallard, T.",ADF&G,APF,Jewel Lake,,Reconnaissance,,,Single species study,,,None,POINT (-149.963164 61.139652),61.139652,-149.963164,,,,Other,0-30,Google Maps,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c7a,521783,8/12/2012,Anchorage Elodea Surveys,"Stallard, T.",APF,,Waldron Lake,,Reconnaissance,,,Single species study,,,None,POINT (-149.851005 61.17826),61.17826,-149.851005,,,,Other,0-30,Google Maps,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c79,521790,8/17/2012,Anchorage Elodea Surveys,"Graziano, G.; Rasy, M.",PMC,CES,cesanc2012-20,,Reconnaissance,no,,Single species study,,,,POINT (-149.7624493 61.2003586),61.2003586,-149.7624493,,,,Aerial Photo,0-1000,,,,Cheney lake,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,no ELODE found,Surveyed entire lake shore from boat.,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c78,521788,8/17/2012,Anchorage Elodea Surveys,"Graziano, G.; Rasy, M.",PMC,CES,cesanc2012-19,,Reconnaissance,no,,Single species study,,,,POINT (-149.8428297 61.1914467),61.1914467,-149.8428297,,,,Aerial Photo,0-1000,,,,Lake otis,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,no ELODE found,Surveyed entire lake shore from boat.,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c77,521789,8/17/2012,Anchorage Elodea Surveys,"Graziano, G.; Rasy, M.",PMC,CES,cesanc2012-17,,Reconnaissance,no,,Single species study,,,,POINT (-149.8207283 61.1954688),61.1954688,-149.8207283,,,,Aerial Photo,0-1000,,,,Goose Lake Anchorage,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,no ELODE found,Surveyed entire lake shore from boat.,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c76,521787,8/17/2012,Anchorage Elodea Surveys,"Graziano, G.; Rasy, M.",PMC,CES,cesanc2012-18,,Reconnaissance,no,,Single species study,,,,POINT (-149.8043346 61.1850042),61.1850042,-149.8043346,,,,Aerial Photo,0-1000,,,,University Lake,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,no ELODE found,Surveyed entire lake shore from boat.,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c75,521801,9/3/2012,Anchorage Elodea Surveys,"Rich, C.; Stallard, T.",ADF&G,APF,Campbell Lake,,Reconnaissance,,,Single species study,,,None,POINT (-149.941835 61.133209),61.133209,-149.941835,,,,Other,0-30,Google Maps,,,,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Surveyed for Elodea spp. only,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c74,483436,9/3/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000283Y12,100420P000297Y14,Monitoring,Yes,,Single species study,,,,POINT (-144.588205 60.3829805),60.3829805,-144.588205,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,2.5873,3,,,Not Collected,None,,"Not certain extent of the infestation, plants were noted near the cabin along the banks and floating in the water.",Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c73,479082,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000285Y12,,,No,,Single species study,,,,POINT (-145.19006 60.452899),60.452899,-145.19006,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.1177,0.5,,,Not Collected,None,,Samples collected after a large storm,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c72,482470,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000279Y12,,,No,,Single species study,,,,POINT (-145.733825 60.5434495),60.5434495,-145.733825,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.062,0.5,,,Not Collected,None,,Samples taken near Cordova Air docks after large storm and high waters.,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c71,484177,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000284Y12,,,No,,Single species study,,,,POINT (-145.189315 60.453604),60.453604,-145.189315,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.3639,0.5,,,Not Collected,None,,Samples collected after a large storm,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c70,483183,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000280Y12,,,No,,Single species study,,,,POINT (-145.726008 60.5433),60.5433,-145.726008,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.2079,37.5,,,Not Collected,None,,"Large floating mat observed from shore after large storm. 3"" diameter and about 4-5"" thick.",Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c6f,483228,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000288Y12,,,No,,Single species study,,,,POINT (-145.204349 60.441151),60.441151,-145.204349,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,1.7464,15,,,Not Collected,None,,Rooted elodea long and floating but not as abundant as in Wrongway pond (NRIS ID 100420O000287Y12),Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c6e,483320,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000282Y12,CNF-USFS-C15-TAOF,Monitoring,Yes,,Single species study,,,,POINT (-145.710193 60.546411),60.546411,-145.710193,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.166,0.5,,,Not Collected,None,,,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c6d,484624,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000278Y12,,,No,,Single species study,,,,POINT (-145.739637 60.5426955),60.5426955,-145.739637,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.1043,0.5,,,Not Collected,None,,"After large storm and high water, shoreline was surveyed and floating fragments and uprooted entire plants were seen.",Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c6c,483504,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000287Y12,,,No,,Single species study,,,,POINT (-145.197212 60.4438665),60.4438665,-145.197212,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.8828,62.5,,,Not Collected,None,,Rooted Elodea was long (6ft) and 2-3ft lengths were floating on the surface. 90% ground coverage.,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c6b,479720,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000281Y12,,,No,,Single species study,,,,POINT (-145.713672 60.545162),60.545162,-145.713672,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.2866,0.5,,,Not Collected,None,,"Large floating mat observed from shore after major storm. 4' diameter, 5-6"" thick.",Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c6a,479776,9/17/2012,Chugach National Forest 2012 Invasive Species Surveys,"Meade, S.",USFS,,100420P000286Y12,,,No,,Single species study,,,,POINT (-145.1926 60.4543635),60.4543635,-145.1926,,,,GPS,0-30,,,,,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.0863,0.5,,,Not Collected,None,,Samples collected after a large storm,Single species survey for Elodea,,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c69,521906,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",USFWS,,STORM-2012-8,,Reconnaissance,no,2,Single species study,,,,POINT (-151.053162744 60.777105768),60.77710577,-151.0531627,,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Gravel substrate,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c68,521907,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",USFWS,,STORM-2012-21,,Reconnaissance,no,1,Single species study,,,,POINT (-151.037705571 60.778153151),60.77815315,-151.0377056,,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,Gravel substrate,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c67,364240,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",ADF&G,USFWS,STORM-2012-34,,,no,1,Single species study,,,,POINT (-151.031401216 60.789016135),60.78901614,-151.0314012,160,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.001,5,5-Jan,,None,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c66,364239,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",ADF&G,USFWS,STORM-2012-31,,,no,1,Single species study,,,,POINT (-151.029765989 60.788085061),60.78808506,-151.029766,160,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.001,5,5-Jan,,None,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c65,364238,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",ADF&G,USFWS,STORM-2012-29,,,no,1,Single species study,,,,POINT (-151.032195918 60.786375649),60.78637565,-151.0321959,160,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.001,5,5-Jan,,None,None,,Floating/ Visually Observed; Mixed with Reeds,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c64,364237,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",ADF&G,USFWS,STORM-2012-20,,,no,2,Single species study,,,,POINT (-151.035571532 60.777526218),60.77752622,-151.0355715,160,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.1,20,26-50,,None,None,,Mixed with Crowfoot,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c63,364243,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",ADF&G,USFWS,STORM-2012-44,,,no,0.5,Single species study,,,,POINT (-151.0592397 60.778331549),60.77833155,-151.0592397,160,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.001,5,5-Jan,,None,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c62,521943,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",USFWS,,STORM-2012-33,,Reconnaissance,no,0.5,Single species study,,,,POINT (-151.029050887 60.789755744),60.78975574,-151.0290509,,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c61,521942,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",USFWS,,STORM-2012-32,,Reconnaissance,no,1,Single species study,,,,POINT (-151.029531019 60.788754147),60.78875415,-151.029531,,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c60,521941,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",USFWS,,STORM-2012-30,,Reconnaissance,no,1,Single species study,,,,POINT (-151.030884714 60.78739298),60.78739298,-151.0308847,,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2c5f,521940,9/29/2012,Stormy Lake Elodea Survey,"Anderson, C.; Massengill, R.; Dunker, K.; Bella, E.",USFWS,,STORM-2012-60,,Reconnaissance,no,1,Single species study,,,,POINT (-151.032679933 60.785180677),60.78518068,-151.0326799,,,,GPS,0-5,GINA - Google Earth,,,"Stormy Lake, Captain Cook State Recreation Area, Kenai Peninsula",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,,Data collected by ADF&G; data compiled by Libby Bella USFWS; data clustered by AKNHP,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
